"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@JetBlue we're on the way to FLL! 2 hours late, but heading in the right direction! #homesweethome",FALSE,1,"JetBlue",2016-09-29 22:26:58,FALSE,"781580312178483201","781621318429138944","6449282","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OlgaAnnaPeddie",0,FALSE,FALSE,NA,NA
"Dear @JetBlue  where those $20 tickets at.. I didn't see any... was this a cruel joke ?",FALSE,1,NA,2016-09-29 22:26:46,FALSE,NA,"781621265433976832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","1MissMela",1,FALSE,FALSE,NA,NA
"RT @urbanjibaro: Wheels up in about 15 minutes @jetblue -&gt; #PRBC16 bound! #1stBoricuaBlogger is going back to where the inspiration began a…",FALSE,0,NA,2016-09-29 22:25:42,FALSE,NA,"781620999070416896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nomadaestudios",3,TRUE,FALSE,NA,NA
"@shmadison NOT friendship, @JetBlue!!",FALSE,1,"shmadison",2016-09-29 22:21:52,FALSE,"781619737373450240","781620031956262912","60741476","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Max_Nicholson",0,FALSE,FALSE,NA,NA
"@taraplastock @JetBlue We're happy to be there for you, Tara.",FALSE,1,"taraplastock",2016-09-29 22:21:40,FALSE,"781618450389147648","781619983889604608","96668578","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GooseIsland",0,FALSE,FALSE,NA,NA
"@Max_Nicholson @JetBlue as our boy Paul would say: PISSED!!!!!!!!!!",FALSE,1,"Max_Nicholson",2016-09-29 22:20:41,FALSE,"781618936043466752","781619737373450240","38289688","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shmadison",0,FALSE,FALSE,NA,NA
"RT @taraplastock: Big day of meetings and now a delayed flight. Saving myself with some @GooseIsland #beer #Jetsetter #travellife @JetBlue",FALSE,0,NA,2016-09-29 22:19:25,FALSE,NA,"781619415133609985",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","myflightcomp",1,TRUE,FALSE,NA,NA
"Thanks to @JetBlue, I'll be missing the first full day of #ACLFest (&amp; Radiohead). So, NO Paranoid Android, NO pitchers of beer, &amp; lots of <ed><U+00A0><U+00BD><ed><U+00B8><U+00A1><ed><U+00A0><U+00BD><ed><U+00B8><U+00A1>",FALSE,2,NA,2016-09-29 22:19:19,FALSE,NA,"781619392954060800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shmadison",0,FALSE,FALSE,NA,NA
"RT @HilaryUpdate: .@HilaryDuff on Snapchat: This is the new spa at @JetBlue https://t.co/OHhIU2jnBh",FALSE,0,NA,2016-09-29 22:17:50,FALSE,NA,"781619017811365888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dimplesxxharry",29,TRUE,FALSE,NA,NA
"@shmadison @JetBlue Nooooooooo.",FALSE,0,"shmadison",2016-09-29 22:17:30,FALSE,NA,"781618936043466752","60741476","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Max_Nicholson",0,FALSE,FALSE,NA,NA
"Big day of meetings and now a delayed flight. Saving myself with some @GooseIsland #beer #Jetsetter #travellife @JetBlue",FALSE,0,NA,2016-09-29 22:15:34,FALSE,NA,"781618450389147648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","taraplastock",1,FALSE,FALSE,NA,NA
"@Z147 reserve at https://t.co/77L680c5Mr Aguadilla Vacation Rental Las Delicias #surf #beach #sunset @JetBlue BQN… https://t.co/k0jogeWekx",FALSE,1,"Z147",2016-09-29 22:10:14,TRUE,NA,"781617107251372032","136675746","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Z147",1,FALSE,FALSE,NA,NA
